parameter_id,IMPC_XRY_027_001
mouse_life_stage,E9.5
gene_symbol,Tpx2
mouse_strain,C57BL
pvalue,0.06986615
parameter_name,Joints
gene_accession_id,MGI:1919369
analysis_id,0y2p424i473l2im
