gene_symbol,Garin4
mouse_strain,C56BL
parameter_name,Mandibles
analysis_id,1c2cr705p288jya
mouse_life_stage,Early adult
parameter_id,CCP_XRY_004_001
gene_accession_id,MGI:3588202
pvalue,0.5147733
