parameter_id,MGP_CSD_026_001
analysis_id,0356e578f823khx
gene_accession_id,MGI:2445096
parameter_name,Ventral coat/hair colour
gene_symbol,Dhtkd1
mouse_strain,C57BL
pvalue,0.6006808
mouse_life_stage,Early adult
