analysis_id,178gr4kl9447lba
parameter_name,Alanine aminotransferase
gene_accession_id,MGI:1916413
pvalue,0.3739549
gene_symbol,Mrpl44
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_013_001
mouse_strain,C57BL
