pvalue,0.4161443
gene_accession_id,MGI:1915247
mouse_strain,C57BL
gene_symbol,Ddx59
mouse_life_stage,E9.5
analysis_id,081h2353ax6kw4m
parameter_id,HRWL_OWT_001_001
parameter_name,Spleen weight
