mouse_life_stage,E9.5
parameter_name,Right vitreous humor thickness
pvalue,0.907695
mouse_strain,C57BL
gene_symbol,Tpx2
parameter_id,IMPC_EYE_087_001
gene_accession_id,MGI:1919369
analysis_id,050c25yjvdfe36a
