parameter_name,Percentage center time
gene_symbol,Chchd5
analysis_id,1lkmdpi0l14284m
mouse_life_stage,Early adult
gene_accession_id,MGI:1913420
pvalue,1.45246
mouse_strain,C57BL
parameter_id,IMPC_OFD_022_001
