analysis_id,0yv56dzsjh49h7m
gene_symbol,Pdik1l
parameter_id,IMPC_CSD_005_001
pvalue,0.3621844
mouse_life_stage,Late adult
gene_accession_id,MGI:2385213
mouse_strain,C57BL
parameter_name,Coat - color - back
