parameter_id,MGP_CSD_008_001
parameter_name,Startle response
pvalue,0.4502938
mouse_strain,C57BL
gene_symbol,WNT6
gene_accession_id,MGI:98960
analysis_id,1qv6ur7th43am9a
mouse_life_stage,E12.5
