parameter_id,MGP_IMM_128_001
parameter_name,Conventional DC (cDC) - % of CD45+
mouse_strain,C57BL
pvalue,0.09500919
mouse_life_stage,Early adult
gene_accession_id,MGI:2444631
analysis_id,06pdct366icub1m
gene_symbol,Bltp1
