mouse_strain,C57BL
parameter_name,Area under glucose response curve
pvalue,0.2550914
mouse_life_stage,Early adult
gene_symbol,Ints3
parameter_id,IMPC_IPG_012_001
gene_accession_id,MGI:2140050
analysis_id,06fninx58a1sh1x
