parameter_id,JAX_OFD_022_001
mouse_life_stage,Early adult
analysis_id,1200s2y8v36792m
parameter_name,Percentage center time
mouse_strain,C57BL
gene_symbol,D630023F18Rik
pvalue,0.2787287
gene_accession_id,MGI:2138198
