pvalue,0.4921107
gene_symbol,Stpg3
parameter_id,IMPC_HEM_001_001
mouse_strain,C57BL
parameter_name,White blood cell count
mouse_life_stage,Early adult
gene_accession_id,MGI:1921722
analysis_id,1812692miq964nm
