mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Ulna
pvalue,1.176422
parameter_id,IMPC_XRY_023_001
gene_accession_id,MGI:2387617
gene_symbol,Obp2a
analysis_id,05jf4518147g0ta
