parameter_id,MGP_IMM_040_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.3960981
gene_symbol,Snorc
gene_accession_id,MGI:1920484
analysis_id,1731u228uob08la
parameter_name,Ly6C+ mature NK cells - % of mature NK cells
