parameter_name,Sodium
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Abca12
pvalue,0.9077374
analysis_id,12hc2tb4195b9fx
parameter_id,IMPC_CBC_001_001
gene_accession_id,MGI:2676312
