mouse_strain,C57BL
pvalue,0.8759582
gene_accession_id,MGI:97383
gene_symbol,Ntrk1
parameter_name,Transfer arousal
analysis_id,1p8ka21750m65km
parameter_id,ESLIM_008_001_007
mouse_life_stage,Early adult
