parameter_id,MGP_IMM_116_001
analysis_id,07qey3z1bkwhpxm
pvalue,0.8837661
mouse_strain,C57BL
parameter_name,Plasma cells - % of CD45+
gene_accession_id,MGI:2444824
gene_symbol,Sirpb1a
mouse_life_stage,Early adult
