mouse_life_stage,Early adult
parameter_id,IMPC_EYE_008_001
mouse_strain,C57BL
pvalue,0.674995
analysis_id,08igxmzrs878e5x
gene_accession_id,MGI:2443925
parameter_name,Corneal opacity
gene_symbol,Thsd7b
