mouse_strain,C57BL
parameter_name,Light side time spent
gene_symbol,Gm12695
pvalue,0.06166193
mouse_life_stage,Early adult
gene_accession_id,MGI:3650206
analysis_id,16b76un1a299rem
parameter_id,JAX_LDT_002_001
