parameter_name,Neutrophil cell count
mouse_strain,C57BL
pvalue,0.8913558
mouse_life_stage,Early adult
analysis_id,18rz33j495b4x3x
gene_accession_id,MGI:3588202
parameter_id,IMPC_HEM_030_001
gene_symbol,Garin4
