analysis_id,0v59ab88di74mmm
gene_symbol,Wdr12
parameter_name,Forelimb grip strength normalised against body weight
mouse_strain,C57BL
gene_accession_id,MGI:1927241
mouse_life_stage,Early adult
parameter_id,IMPC_GRS_010_001
pvalue,0.5470079
