parameter_name,Ventral coat/hair colour pattern
gene_accession_id,MGI:1096385
gene_symbol,Bcan
analysis_id,16p166x4661gr0m
pvalue,0.9785672
parameter_id,MGP_CSD_027_001
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
