analysis_id,10994617g3521dm
pvalue,0.8717588
mouse_life_stage,Early adult
parameter_name,Embryo Size
mouse_strain,C57BL
parameter_id,IMPC_GEM_019_001
gene_symbol,Bfsp1
gene_accession_id,MGI:101770
