mouse_life_stage,Early adult
pvalue,0.2958813
mouse_strain,C57BL
gene_accession_id,MGI:1098604
analysis_id,12j57w739216ldm
parameter_name,Eye Hemorrhage or Blood Presence
gene_symbol,Rragd
parameter_id,IMPC_EYE_003_001
