mouse_strain,C57BL
mouse_life_stage,E9.5
analysis_id,0as07i59mu32x8x
gene_symbol,Mrpl44
gene_accession_id,MGI:1916413
parameter_id,IMPC_EYE_063_001
pvalue,0.4334905
parameter_name,Right inner nuclear layer
