parameter_name,BMC/Body weight
gene_accession_id,MGI:104559
analysis_id,0z32aubhk94n82m
mouse_life_stage,Early adult
gene_symbol,Rcn1
parameter_id,IMPC_DXA_007_001
mouse_strain,C57BL
pvalue,0.7811353
