pvalue,0.4212592
gene_accession_id,MGI:2444508
analysis_id,020b5moy7na7pya
mouse_strain,C57BL
parameter_id,IMPC_OFD_011_001
gene_symbol,Fitm2
mouse_life_stage,E12.5
parameter_name,Periphery resting time
