mouse_strain,C57BL
parameter_id,IMPC_GEM_068_001
mouse_life_stage,Early adult
parameter_name,Forebrain morphology
analysis_id,166960rwt5ozycm
gene_symbol,Frrs1l
pvalue,0.1651716
gene_accession_id,MGI:2442704
