gene_symbol,Tmem62
mouse_life_stage,Early adult
analysis_id,1f40jeta4gge2hx
mouse_strain,C57BL
parameter_id,IMPC_OFD_022_001
parameter_name,Percentage center time
gene_accession_id,MGI:2139461
pvalue,0.544266
