analysis_id,126j0y02l24zq9a
pvalue,0.457016
gene_symbol,Cct3
mouse_life_stage,E9.5
parameter_id,IMPC_ECG_003_001
gene_accession_id,MGI:104708
parameter_name,CV
mouse_strain,C57BL
