analysis_id,0p43de3avy831dx
mouse_strain,C52BL
mouse_life_stage,Early adult
gene_symbol,Etv3
parameter_name,Percent time in light
parameter_id,CCP_LDT_008_001
gene_accession_id,MGI:1350926
pvalue,0.1846097
