analysis_id,27iz7tj096nl0ya
mouse_strain,C57BL
pvalue,0.3441224
parameter_id,MGP_IMM_127_001
mouse_life_stage,Early adult
parameter_name,Plasmacytoid DC - % of CD45+
gene_accession_id,MGI:1919471
gene_symbol,Cimip1
