pvalue,0.1058655
parameter_name,Resting Treg cells - % of Treg
mouse_life_stage,Early adult
gene_accession_id,MGI:3590554
gene_symbol,FIRRM
mouse_strain,C57BL
analysis_id,11q2b799qi9ngix
parameter_id,MGP_IMM_011_001
