parameter_id,ESLIM_005_001_005
mouse_life_stage,Early adult
gene_symbol,Map7d1
parameter_name,Bone Mineral Content
gene_accession_id,MGI:2384297
mouse_strain,C57BL
analysis_id,16fr1b54bt091lx
pvalue,0.9545154
