parameter_id,IMPC_IMM_040_002
gene_accession_id,MGI:1096385
analysis_id,2gdoir340v05b4a
gene_symbol,Bcan
mouse_strain,C57BL
parameter_name,Effector CD4+ NKT cells - % of live leukocytes (Panel A)
pvalue,0.9064936
mouse_life_stage,Early adult
