mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Basophil differential count
gene_symbol,Cd1d1
pvalue,0.414515
gene_accession_id,MGI:107674
analysis_id,1100b9y006sxdyx
parameter_id,IMPC_HEM_038_001
