parameter_name,spina bifida
pvalue,0.8417374
analysis_id,01i07bze1ka0h7m
parameter_id,IMPC_GEO_043_002
mouse_life_stage,Early adult
gene_accession_id,MGI:1914210
mouse_strain,C57BL
gene_symbol,Mindy3
