pvalue,0.3072632
mouse_life_stage,Early adult
gene_accession_id,MGI:1346086
analysis_id,08j876c7sjp3ljx
mouse_strain,C57BL
parameter_id,MGP_MLN_014_001
parameter_name,Resting CD8+ T cells - % of CD8+
gene_symbol,Aplnr
