parameter_name,Latency to center entry
mouse_strain,C57BL
parameter_id,IMPC_OFD_018_001
gene_accession_id,MGI:2444631
gene_symbol,Bltp1
mouse_life_stage,Early adult
pvalue,0.1009468
analysis_id,01ge61dn8hi19ga
