gene_accession_id,MGI:98397
gene_symbol,Src
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_029_001
pvalue,0.6343732
parameter_name,Activity (body position)
analysis_id,29ha6e1983bl70a
