parameter_id,MGP_IMM_013_001
mouse_strain,C57BL
gene_symbol,Fjx1
pvalue,0.8540598
analysis_id,0wi8u7rp7t8cn3m
mouse_life_stage,Early adult
gene_accession_id,MGI:1341907
parameter_name,Total CD8+ T cells - % of ab T cells
