pvalue,0.5677272
gene_accession_id,MGI:1931071
analysis_id,1unl0983fr7t26a
mouse_life_stage,Early adult
parameter_name,Transfer arousal
parameter_id,ESLIM_008_001_007
mouse_strain,C57BL
gene_symbol,Sec61a2
