pvalue,0.4278983
gene_symbol,Ints3
mouse_life_stage,E9.5
analysis_id,080pk8838f04o7a
gene_accession_id,MGI:2140050
mouse_strain,C57BL
parameter_name,Coat - hair texture / appearance - abdomen
parameter_id,HMGULA_DYS_016_001
