parameter_id,IMPC_CBC_015_001
analysis_id,17tf7v1225r4v4m
pvalue,0.9705637
mouse_life_stage,Early adult
gene_accession_id,MGI:1860511
mouse_strain,C57BL
gene_symbol,Heyl
parameter_name,Total cholesterol
