parameter_id,IMPC_XRY_012_001
mouse_life_stage,Early adult
parameter_name,Pelvis
gene_accession_id,MGI:1921607
pvalue,0.08023867
mouse_strain,C57BL
analysis_id,16eh3o193xfcd6x
gene_symbol,Efhd1
