mouse_life_stage,Early adult
gene_symbol,Skint7
analysis_id,0k3bz94q4q5hsua
mouse_strain,C57BL
parameter_name,Head size
gene_accession_id,MGI:3041190
pvalue,0.7745736
parameter_id,IMPC_CSD_025_001
