gene_symbol,Rprd2
pvalue,0.5462195
gene_accession_id,MGI:1922387
parameter_id,IMPC_OFD_021_001
mouse_life_stage,E9.5
mouse_strain,C57BL
parameter_name,Number of rears - total
analysis_id,119asywm1rxg76x
