analysis_id,17812gr8xysgt4m
gene_symbol,R3hdm1
parameter_id,HMGULA_DYS_016_001
mouse_life_stage,Early adult
parameter_name,Coat - hair texture / appearance - abdomen
pvalue,0.2191541
gene_accession_id,MGI:2448514
mouse_strain,C57BL
