pvalue,0.510115
gene_accession_id,MGI:1923304
analysis_id,0dz41j6w8x4sg4a
mouse_strain,C57BL
parameter_id,IMPC_XRY_016_001
mouse_life_stage,Early adult
parameter_name,Number of pelvic vertebrae
gene_symbol,Prrc2b
