parameter_name,Teeth
mouse_strain,C57BL
gene_symbol,Ndufs3
pvalue,0.1114065
gene_accession_id,MGI:1915599
parameter_id,CCP_XRY_005_001
analysis_id,03at4z6y1mvvypm
mouse_life_stage,Early adult
