parameter_name,Tibia length
pvalue,0.7146863
analysis_id,13m8c8iw0y861xa
parameter_id,IMPC_HWT_002_001
mouse_strain,C57BL
gene_accession_id,MGI:106637
mouse_life_stage,E9.5
gene_symbol,Slc30a2
