gene_accession_id,MGI:1927753
gene_symbol,Inpp5e
mouse_strain,C57BL
mouse_life_stage,E15.5
parameter_id,IMPC_HEM_004_001
pvalue,0.6239287
parameter_name,Hematocrit
analysis_id,05x4s2z23639h1m
