gene_symbol,Ube2u
pvalue,0.5684368
parameter_id,CCP_XRY_001_001
parameter_name,Skull shape
mouse_strain,C57BL
gene_accession_id,MGI:3588216
mouse_life_stage,Early adult
analysis_id,0vn44mjjp839rjm
