analysis_id,0u6y54b9ryc6o5a
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Breath rate during sleep mean
gene_accession_id,MGI:1931054
parameter_id,JAX_SLW_013_001
gene_symbol,Slc43a3
pvalue,0.3385767
