gene_accession_id,MGI:3045320
gene_symbol,Mgat4f
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAX_LDT_003_001
pvalue,0.836332
parameter_name,Time mobile light side
analysis_id,12y5v1987g73h5m
