gene_accession_id,MGI:1927241
gene_symbol,Wdr12
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,ESLIM_008_001_022
pvalue,0.9110654
parameter_name,Vocalisation
analysis_id,05n8349q911pl2x
