gene_accession_id,MGI:1913692
mouse_life_stage,E9.5
pvalue,0.6514621
parameter_id,IMPC_GRS_010_001
gene_symbol,Spc25
mouse_strain,C57BL
analysis_id,18652dflg44882m
parameter_name,Forelimb grip strength normalised against body weight
