parameter_name,White blood cell count
analysis_id,017con0zw292b4x
gene_symbol,Trim59
mouse_strain,C57BL
gene_accession_id,MGI:1914199
parameter_id,IMPC_HEM_001_001
mouse_life_stage,Early adult
pvalue,0.3669798
