pvalue,0.9722131
gene_accession_id,MGI:2443805
parameter_id,IMPC_HEM_030_001
gene_symbol,Bnc2
parameter_name,Neutrophil cell count
analysis_id,05vtxg3c29a9rnm
mouse_life_stage,Early adult
mouse_strain,C57BL
