analysis_id,239ekv76tb0cqea
gene_symbol,Aplnr
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,CCP_XRY_019_001
parameter_name,Fusion of vertebrae
gene_accession_id,MGI:1346086
pvalue,0.5287501
