pvalue,0.5533782
gene_symbol,Src
mouse_strain,129SV
parameter_id,IMPC_CBC_012_001
analysis_id,10at73j4nrq2i2x
mouse_life_stage,Early adult
gene_accession_id,MGI:98397
parameter_name,Aspartate aminotransferase
