parameter_name,Alpha-amylase
parameter_id,IMPC_CBC_023_001
gene_symbol,Ube2c
mouse_life_stage,E18.5
mouse_strain,C57BL
pvalue,0.547062
gene_accession_id,MGI:1915862
analysis_id,03zu94dlv7p138a
