analysis_id,0sfd3f1h59vw20m
gene_symbol,Casq2
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_accession_id,MGI:1309469
parameter_name,Mean platelet volume
pvalue,0.5259785
parameter_id,IMPC_HEM_019_001
